Log file started Wed Mar 09 21:46:16 2011
Wed Mar 09 21:46:37 2011: updateBody z 2.391220
Wed Mar 09 21:46:37 2011: updateBody x -4.695516
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 2.697220
Wed Mar 09 21:46:37 2011: Client 1: read CMD_KEY (10)
Wed Mar 09 21:46:37 2011: updateBody x -4.647646
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 2.999453
Wed Mar 09 21:46:37 2011: updateBody x -4.553087
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 3.290476
Wed Mar 09 21:46:37 2011: updateBody x -4.393466
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 3.590678
Wed Mar 09 21:46:37 2011: Client 1: read CMD_KEY (8)
Wed Mar 09 21:46:37 2011: updateBody x -4.060399
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 3.954156
Wed Mar 09 21:46:37 2011: updateBody x -3.679869
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 4.210824
Wed Mar 09 21:46:37 2011: updateBody x -3.144831
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 4.379519
Wed Mar 09 21:46:37 2011: updateBody x -2.413827
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 4.379519
Wed Mar 09 21:46:37 2011: updateBody x -1.886825
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 4.379519
Wed Mar 09 21:46:37 2011: updateBody x -1.495823
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 4.379519
Wed Mar 09 21:46:37 2011: updateBody x -1.189821
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 4.379519
Wed Mar 09 21:46:37 2011: updateBody x -0.849820
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 4.379519
Wed Mar 09 21:46:37 2011: updateBody x -0.543818
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 4.379519
Wed Mar 09 21:46:37 2011: updateBody x -0.101816
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 4.379519
Wed Mar 09 21:46:37 2011: updateBody x 0.561187
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 4.379519
Wed Mar 09 21:46:37 2011: updateBody x 1.139190
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 4.379519
Wed Mar 09 21:46:37 2011: updateBody x 1.615193
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 4.379519
Wed Mar 09 21:46:37 2011: updateBody x 2.210196
Wed Mar 09 21:46:37 2011: updateBody y 5.000000
Wed Mar 09 21:46:37 2011: updateBody z 4.379519
