Log file started Tue Mar 08 20:55:08 2011
Tue Mar 08 20:55:08 2011: WSAStartup OK
Tue Mar 08 20:55:08 2011: Server's information: IP address: 127.0.0.1, port: 30004
Tue Mar 08 20:55:08 2011: No net interface given, using any interface available
Tue Mar 08 20:55:08 2011: No port defined, picking one for you
Tue Mar 08 20:55:08 2011: Opening UDP port = 1523
Tue Mar 08 20:55:08 2011: CArmyWar::Connect
Tue Mar 08 20:55:26 2011: LIBRARY: Client: got connect confirmation
Tue Mar 08 20:55:26 2011: LIBRARY: Client: adding a client
Tue Mar 08 20:55:26 2011: App: Client: Adding client with index 1
Tue Mar 08 20:55:26 2011: App: Client: Adding first client
Tue Mar 08 20:55:26 2011: App: Client: This one is local
Tue Mar 08 20:55:27 2011: Reading NONDELTAFRAME for client 1
Tue Mar 08 20:55:45 2011: Prediction rot error for frame 52:     0.000004, 0.000000

Tue Mar 08 20:55:45 2011: Prediction rot error for frame 57:     0.000004, 0.000000

Tue Mar 08 20:55:45 2011: Client 1: Read key 6
Tue Mar 08 20:55:45 2011: Prediction error for frame 3:     -0.000006, -0.000002

Tue Mar 08 20:55:45 2011: Prediction rot error for frame 3:     0.000004, -0.000001

Tue Mar 08 20:55:45 2011: Prediction error for frame 4:     0.000000, 0.000001

Tue Mar 08 20:55:45 2011: Prediction rot error for frame 4:     0.000004, 0.000001

Tue Mar 08 20:55:45 2011: Prediction error for frame 14:     -0.000019, -0.000010

Tue Mar 08 20:55:45 2011: Prediction rot error for frame 14:     0.000004, -0.000001

Tue Mar 08 20:55:45 2011: Prediction error for frame 15:     -0.000002, -0.000001

Tue Mar 08 20:55:45 2011: Prediction rot error for frame 15:     0.000003, -0.000001

Tue Mar 08 20:55:45 2011: Client 1: Read key 2
Tue Mar 08 20:55:45 2011: Prediction error for frame 25:     -0.000011, -0.000004

Tue Mar 08 20:55:45 2011: Prediction rot error for frame 25:     0.000004, 0.000001

Tue Mar 08 20:55:45 2011: Prediction rot error for frame 26:     0.000004, 0.000000

Tue Mar 08 20:55:45 2011: Prediction rot error for frame 31:     0.000004, 0.000000

Tue Mar 08 20:55:46 2011: Prediction rot error for frame 41:     0.000004, 0.000000

Tue Mar 08 20:55:46 2011: Prediction rot error for frame 42:     0.000004, 0.000000

Tue Mar 08 20:55:46 2011: Prediction rot error for frame 52:     0.000004, 0.000000

Tue Mar 08 20:55:46 2011: Prediction rot error for frame 53:     0.000004, 0.000000

Tue Mar 08 20:55:46 2011: Prediction rot error for frame 58:     0.000004, 0.000000

Tue Mar 08 20:55:46 2011: Prediction rot error for frame 63:     0.000004, 0.000000

Tue Mar 08 20:55:46 2011: Prediction rot error for frame 8:     0.000004, 0.000000

Tue Mar 08 20:55:46 2011: Prediction rot error for frame 9:     0.000004, 0.000000

Tue Mar 08 20:55:46 2011: Prediction rot error for frame 14:     0.000004, 0.000000

Tue Mar 08 20:55:47 2011: Prediction rot error for frame 23:     0.000004, 0.000000

Tue Mar 08 20:55:47 2011: Prediction rot error for frame 24:     0.000004, 0.000000

Tue Mar 08 20:55:47 2011: Prediction rot error for frame 34:     0.000004, 0.000000

Tue Mar 08 20:55:47 2011: Prediction rot error for frame 35:     0.000004, 0.000000

Tue Mar 08 20:55:47 2011: Prediction rot error for frame 45:     0.000004, 0.000000

Tue Mar 08 20:55:47 2011: Prediction rot error for frame 46:     0.000004, 0.000000

Tue Mar 08 20:55:47 2011: Prediction rot error for frame 51:     0.000004, 0.000000

Tue Mar 08 20:55:47 2011: Prediction rot error for frame 61:     0.000004, 0.000000

Tue Mar 08 20:55:47 2011: Prediction rot error for frame 62:     0.000004, 0.000000

Tue Mar 08 20:55:48 2011: Prediction rot error for frame 7:     0.000004, 0.000000

Tue Mar 08 20:55:48 2011: Prediction rot error for frame 8:     0.000004, 0.000000

Tue Mar 08 20:55:48 2011: Prediction rot error for frame 13:     0.000004, 0.000000

Tue Mar 08 20:55:48 2011: Prediction rot error for frame 19:     0.000004, 0.000000

Tue Mar 08 20:55:48 2011: Prediction rot error for frame 24:     0.000004, 0.000000

Tue Mar 08 20:55:48 2011: Prediction rot error for frame 33:     0.000004, 0.000000

Tue Mar 08 20:55:48 2011: Prediction rot error for frame 34:     0.000004, 0.000000

Tue Mar 08 20:55:48 2011: Prediction rot error for frame 39:     0.000004, 0.000000

Tue Mar 08 20:55:48 2011: Prediction rot error for frame 44:     0.000004, 0.000000

Tue Mar 08 20:55:49 2011: Prediction rot error for frame 52:     0.000004, 0.000000

Tue Mar 08 20:55:49 2011: Prediction rot error for frame 53:     0.000004, 0.000000

Tue Mar 08 20:55:49 2011: Prediction rot error for frame 63:     0.000004, 0.000000

Tue Mar 08 20:55:49 2011: Prediction rot error for frame 0:     0.000004, 0.000000

Tue Mar 08 20:55:49 2011: Prediction rot error for frame 5:     0.000004, 0.000000

Tue Mar 08 20:55:49 2011: Prediction rot error for frame 14:     0.000004, 0.000000

Tue Mar 08 20:55:49 2011: Prediction rot error for frame 15:     0.000004, 0.000000

Tue Mar 08 20:55:49 2011: Prediction rot error for frame 21:     0.000004, 0.000000

Tue Mar 08 20:55:49 2011: Prediction rot error for frame 25:     0.000004, 0.000000

Tue Mar 08 20:55:49 2011: Prediction rot error for frame 30:     0.000004, 0.000000

Tue Mar 08 20:55:50 2011: Prediction rot error for frame 36:     0.000004, 0.000000

Tue Mar 08 20:55:50 2011: Client 1: Read key 10
Tue Mar 08 20:55:50 2011: Prediction rot error for frame 42:     0.000004, 0.000001

Tue Mar 08 20:55:50 2011: Prediction error for frame 47:     0.000004, 0.000000

Tue Mar 08 20:55:50 2011: Prediction rot error for frame 47:     0.000005, -0.000001

Tue Mar 08 20:55:50 2011: Prediction error for frame 53:     0.000011, 0.000000

Tue Mar 08 20:55:50 2011: Prediction rot error for frame 53:     0.000004, 0.000002

Tue Mar 08 20:55:50 2011: Prediction error for frame 58:     0.000010, 0.000000

Tue Mar 08 20:55:50 2011: Prediction rot error for frame 58:     0.000004, 0.000002

Tue Mar 08 20:55:50 2011: Prediction error for frame 0:     0.000011, 0.000000

Tue Mar 08 20:55:50 2011: Prediction rot error for frame 0:     0.000004, 0.000002

Tue Mar 08 20:55:50 2011: Prediction error for frame 5:     0.000010, 0.000000

Tue Mar 08 20:55:50 2011: Prediction rot error for frame 5:     0.000004, 0.000002

Tue Mar 08 20:55:50 2011: Prediction error for frame 11:     0.000011, 0.000000

Tue Mar 08 20:55:50 2011: Prediction rot error for frame 11:     0.000004, 0.000002

Tue Mar 08 20:55:50 2011: Prediction error for frame 16:     0.000009, 0.000000

Tue Mar 08 20:55:50 2011: Prediction rot error for frame 16:     0.000004, 0.000002

Tue Mar 08 20:55:51 2011: Prediction error for frame 22:     0.000009, 0.000000

Tue Mar 08 20:55:51 2011: Prediction rot error for frame 22:     0.000004, 0.000002

Tue Mar 08 20:55:51 2011: Prediction error for frame 28:     0.000010, 0.000000

Tue Mar 08 20:55:51 2011: Prediction rot error for frame 28:     0.000004, 0.000002

Tue Mar 08 20:55:51 2011: Prediction error for frame 33:     0.000009, 0.000000

Tue Mar 08 20:55:51 2011: Prediction rot error for frame 33:     0.000004, 0.000002

Tue Mar 08 20:55:51 2011: Prediction error for frame 39:     0.000010, 0.000000

Tue Mar 08 20:55:51 2011: Prediction rot error for frame 39:     0.000004, 0.000002

Tue Mar 08 20:55:51 2011: Prediction error for frame 44:     0.000009, 0.000000

Tue Mar 08 20:55:51 2011: Prediction rot error for frame 44:     0.000004, 0.000002

Tue Mar 08 20:55:51 2011: Client 1: Read key 8
Tue Mar 08 20:55:51 2011: Prediction error for frame 50:     0.000012, 0.000000

Tue Mar 08 20:55:51 2011: Prediction rot error for frame 50:     0.000003, 0.000003

Tue Mar 08 20:55:51 2011: Prediction error for frame 55:     0.000013, 0.000000

Tue Mar 08 20:55:51 2011: Prediction rot error for frame 55:     0.000004, 0.000002

Tue Mar 08 20:55:51 2011: Prediction error for frame 61:     0.000015, 0.000000

Tue Mar 08 20:55:51 2011: Prediction rot error for frame 61:     0.000003, 0.000003

Tue Mar 08 20:55:51 2011: Prediction error for frame 2:     0.000014, 0.000000

Tue Mar 08 20:55:51 2011: Prediction rot error for frame 2:     0.000003, 0.000003

Tue Mar 08 20:55:51 2011: Prediction error for frame 8:     0.000015, 0.000000

Tue Mar 08 20:55:51 2011: Prediction rot error for frame 8:     0.000003, 0.000003

